scenario,scenario_slug,source_team,target_team,model_code,alpha,residual_window_observations,n,MAE,RMSE,bias,R2,linear_calibration_intercept,linear_calibration_slope,within_1_point
Within Team A: 2020→2021,Within_TeamA_2020_to_2021,TeamA,TeamA,P0,1000.0,28,5903,0.7155506569512856,1.02913774707925,0.011928207765580503,0.5703245165460722,0.4669565233735133,0.928280426123127,0.7589361341690666
Within Team A: 2020→2021,Within_TeamA_2020_to_2021,TeamA,TeamA,P1m,1000.0,28,5903,0.7234657737219325,1.0292985403154244,0.03244692059764494,0.5701902404320406,0.5038596755450476,0.919926773974809,0.7602913772657971
Within Team B: 2020→2021,Within_TeamB_2020_to_2021,TeamB,TeamB,P0,1000.0,28,2497,0.6169120414713707,0.963282948092949,0.027827103414886565,0.48804915721588304,0.6223566090660384,0.9079512302011742,0.8113736483780537
Within Team B: 2020→2021,Within_TeamB_2020_to_2021,TeamB,TeamB,P1m,1000.0,28,2497,0.6364619656548487,0.9542655027015117,0.030573214556160296,0.497589201359694,0.547109517828161,0.9182472296999517,0.8089707649179014
Cross-team: Team A 2020→Team B 2021,Cross_TeamA2020_to_TeamB2021,TeamA,TeamB,P0,1000.0,28,2497,0.6155230808451971,0.9595540107613535,0.02841015460473454,0.4920050823411942,0.4948051726250991,0.925932700007209,0.8129755706848217
Cross-team: Team A 2020→Team B 2021,Cross_TeamA2020_to_TeamB2021,TeamA,TeamB,P1m,1000.0,28,2497,0.6393780995520066,0.9673092347176523,0.05787071615997277,0.4837605551650985,0.5284308204509307,0.917346807383215,0.8105726872246696
Cross-team: Team B 2020→Team A 2021,Cross_TeamB2020_to_TeamA2021,TeamB,TeamA,P0,1000.0,28,5903,0.7162885702581376,1.032690682892792,0.011520394811294455,0.5673526216624991,0.5495012811946397,0.9159741571935994,0.7577502964594274
Cross-team: Team B 2020→Team A 2021,Cross_TeamB2020_to_TeamA2021,TeamB,TeamA,P1m,1000.0,28,5903,0.7203645761958966,1.029631416237781,0.016884650065582853,0.5699121938798326,0.5288901523990845,0.9183233463063031,0.7613078095883449
