cohort,source_team,model_code,fold,alpha,train_rows,validation_rows,validation_start,validation_end,residual_window_observations,tuning_pipeline,MAE,RMSE
Primary complete-case cohort,TeamA,P1,1,0.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8609285646282486,1.2028064895764852
Primary complete-case cohort,TeamA,P1,1,0.0001,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8609285505215638,1.2028064769186533
Primary complete-case cohort,TeamA,P1,1,0.001,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8609284235615631,1.2028063629983716
Primary complete-case cohort,TeamA,P1,1,0.01,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8609271539776056,1.2028052238159077
Primary complete-case cohort,TeamA,P1,1,0.1,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8609144597426811,1.2027938340259197
Primary complete-case cohort,TeamA,P1,1,1.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8607876776092892,1.2026801392216833
Primary complete-case cohort,TeamA,P1,1,10.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8595425055897795,1.201563137926297
Primary complete-case cohort,TeamA,P1,1,100.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8494024148105931,1.1920830440435926
Primary complete-case cohort,TeamA,P1,1,1000.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.821186221261298,1.1580573126603375
Primary complete-case cohort,TeamA,P1,1,10000.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8377335520517921,1.1448157983315241
Primary complete-case cohort,TeamA,P1,1,100000.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8613343889357696,1.1598397899570203
Primary complete-case cohort,TeamA,P1,2,0.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8146596755088948,1.1263777814071538
Primary complete-case cohort,TeamA,P1,2,0.0001,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8146596674418181,1.1263777732166056
Primary complete-case cohort,TeamA,P1,2,0.001,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8146595948381814,1.1263776995017585
Primary complete-case cohort,TeamA,P1,2,0.01,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8146588688070893,1.1263769623618594
