alpha,weighted_MAE,weighted_RMSE,validation_rows_total,residual_window_observations,cohort,source_team,model_code,tuning_pipeline,selected
0.001,0.5897829537044077,1.0314670048817283,1064,28,Primary complete-case cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
0.0001,0.5897830075164147,1.0314671432192646,1064,28,Primary complete-case cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
0.0,0.5897830134955303,1.0314671585901183,1064,28,Primary complete-case cohort,TeamB,P0,population prediction plus reset sequential residual adaptation,False
1000.0,0.5758123523089866,0.940005597782885,1064,28,Primary complete-case cohort,TeamB,P1,population prediction plus reset sequential residual adaptation,True
10000.0,0.5762181590866462,0.9528471048552446,1064,28,Primary complete-case cohort,TeamB,P1,population prediction plus reset sequential residual adaptation,False
100000.0,0.5849433382161473,0.9714813682965234,1064,28,Primary complete-case cohort,TeamB,P1,population prediction plus reset sequential residual adaptation,False
100.0,0.625205908256266,0.9760356665707142,1064,28,Primary complete-case cohort,TeamB,P1,population prediction plus reset sequential residual adaptation,False
10.0,0.639084686849891,0.9881424862404131,1064,28,Primary complete-case cohort,TeamB,P1,population prediction plus reset sequential residual adaptation,False
1.0,0.6407077322241322,0.9895913437505918,1064,28,Primary complete-case cohort,TeamB,P1,population prediction plus reset sequential residual adaptation,False
0.1,0.6408739287963066,0.9897390523860836,1064,28,Primary complete-case cohort,TeamB,P1,population prediction plus reset sequential residual adaptation,False
0.01,0.6408905664481085,0.9897538520133822,1064,28,Primary complete-case cohort,TeamB,P1,population prediction plus reset sequential residual adaptation,False
0.001,0.6408922303934959,0.9897553322642964,1064,28,Primary complete-case cohort,TeamB,P1,population prediction plus reset sequential residual adaptation,False
0.0001,0.6408923967898368,0.98975548029227,1064,28,Primary complete-case cohort,TeamB,P1,population prediction plus reset sequential residual adaptation,False
0.0,0.6408924152783394,0.989755496739855,1064,28,Primary complete-case cohort,TeamB,P1,population prediction plus reset sequential residual adaptation,False
1000.0,0.5771744952858725,0.9451534773162485,1064,28,Primary complete-case cohort,TeamB,P2,population prediction plus reset sequential residual adaptation,True
10000.0,0.5772430859895593,0.9572659784108527,1064,28,Primary complete-case cohort,TeamB,P2,population prediction plus reset sequential residual adaptation,False
100000.0,0.5851490022632541,0.9722897231034708,1064,28,Primary complete-case cohort,TeamB,P2,population prediction plus reset sequential residual adaptation,False
100.0,0.6245216485787342,0.9777640871659112,1064,28,Primary complete-case cohort,TeamB,P2,population prediction plus reset sequential residual adaptation,False
10.0,0.6378303313295128,0.9886980963002739,1064,28,Primary complete-case cohort,TeamB,P2,population prediction plus reset sequential residual adaptation,False
1.0,0.6393765623243113,0.9899948986008942,1064,28,Primary complete-case cohort,TeamB,P2,population prediction plus reset sequential residual adaptation,False
0.1,0.6395342417610261,0.9901269319971504,1064,28,Primary complete-case cohort,TeamB,P2,population prediction plus reset sequential residual adaptation,False
0.01,0.6395500334758267,0.9901401592357183,1064,28,Primary complete-case cohort,TeamB,P2,population prediction plus reset sequential residual adaptation,False
0.001,0.6395516127895278,0.9901414821989374,1064,28,Primary complete-case cohort,TeamB,P2,population prediction plus reset sequential residual adaptation,False
0.0001,0.6395517707223201,0.9901416144976533,1064,28,Primary complete-case cohort,TeamB,P2,population prediction plus reset sequential residual adaptation,False
0.0,0.6395517882704242,0.9901416291975375,1064,28,Primary complete-case cohort,TeamB,P2,population prediction plus reset sequential residual adaptation,False
