cohort,source_team,model_code,fold,alpha,train_rows,validation_rows,validation_start,validation_end,residual_window_observations,tuning_pipeline,MAE,RMSE
Missingness-aware cohort,TeamA,P1m,1,0.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,5858821990831.919,40178704126878.55
Missingness-aware cohort,TeamA,P1m,1,0.0001,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8609087477355327,1.2033228039388726
Missingness-aware cohort,TeamA,P1m,1,0.001,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8609086209079297,1.2033226867445672
Missingness-aware cohort,TeamA,P1m,1,0.01,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8609073526480088,1.2033215148225438
Missingness-aware cohort,TeamA,P1m,1,0.1,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8608946716595296,1.2033097977049847
Missingness-aware cohort,TeamA,P1m,1,1.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8607680225970136,1.203192836411311
Missingness-aware cohort,TeamA,P1m,1,10.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8595259753169797,1.2020438336005286
Missingness-aware cohort,TeamA,P1m,1,100.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.849432705646522,1.1922976827320002
Missingness-aware cohort,TeamA,P1m,1,1000.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8218762557730694,1.1572716345148273
Missingness-aware cohort,TeamA,P1m,1,10000.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8380662980216538,1.142741640582093
Missingness-aware cohort,TeamA,P1m,1,100000.0,2023,726,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8614043602349676,1.1571422293348554
Missingness-aware cohort,TeamA,P1m,2,0.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8138464983968321,1.1256872765362305
Missingness-aware cohort,TeamA,P1m,2,0.0001,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8145428218680744,1.1262721706511805
Missingness-aware cohort,TeamA,P1m,2,0.001,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8145427489767715,1.1262720967146977
Missingness-aware cohort,TeamA,P1m,2,0.01,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8145420200690984,1.1262713573585514
Missingness-aware cohort,TeamA,P1m,2,0.1,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8145347315277336,1.1262639646649972
Missingness-aware cohort,TeamA,P1m,2,1.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8144618996048187,1.1261901244219958
Missingness-aware cohort,TeamA,P1m,2,10.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8137461199126387,1.1254602937394502
Missingness-aware cohort,TeamA,P1m,2,100.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8075793513790955,1.1189314319178256
Missingness-aware cohort,TeamA,P1m,2,1000.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7826389020999054,1.0891394268134147
Missingness-aware cohort,TeamA,P1m,2,10000.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7700970728309615,1.0641491059315291
Missingness-aware cohort,TeamA,P1m,2,100000.0,2749,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7751905039264084,1.0716462808676905
Missingness-aware cohort,TeamA,P1m,3,0.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7560487239208096,1.0373364863651149
Missingness-aware cohort,TeamA,P1m,3,0.0001,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.756034244392933,1.0369199162565452
Missingness-aware cohort,TeamA,P1m,3,0.001,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7560341957205278,1.036919875577939
Missingness-aware cohort,TeamA,P1m,3,0.01,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7560337089996264,1.0369194687976102
Missingness-aware cohort,TeamA,P1m,3,0.1,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.756028842105592,1.0369154015674928
Missingness-aware cohort,TeamA,P1m,3,1.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.755980204639167,1.0368747865216303
Missingness-aware cohort,TeamA,P1m,3,10.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7554969533742989,1.0364743003045567
Missingness-aware cohort,TeamA,P1m,3,100.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7511209583890582,1.0329801350820507
Missingness-aware cohort,TeamA,P1m,3,1000.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7356367607513254,1.0215487088327364
Missingness-aware cohort,TeamA,P1m,3,10000.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7457110966133255,1.0409989992710031
Missingness-aware cohort,TeamA,P1m,3,100000.0,3374,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7678619116215154,1.0801311699920253
